chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
72778231505,5210954,1129300125,2,AUTORIZADO,Autorizado
67860720505,4062424,1129027090,1,AUTORIZADO,Autorizado
27146419720,6016067,1129376737,1,AUTORIZADO,Autorizado
67860820505,7636387,1129317418,1,AUTORIZADO,Autorizado
67860920505,7636387,1129158695,2,AUTORIZADO,Autorizado
27146519720,7476419,1129378448,1,AUTORIZADO,Autorizado
72778631505,7771064,1129212869,1,AUTORIZADO,Autorizado
27146619720,7868962,1129383413,1,AUTORIZADO,Autorizado
72778831505,6175931,1129252444,2,AUTORIZADO,Autorizado
72778831505,7004902,1129252444,1,AUTORIZADO,Autorizado
27146719720,7868962,1129384264,1,AUTORIZADO,Autorizado
67861220505,7588457,1129368779,1,AUTORIZADO,Autorizado
47992559630,7868993,1129226153,1,AUTORIZADO,Autorizado
67861520505,6281267,1129380544,1,AUTORIZADO,Autorizado
33265112640,6540340,1129368889,1,AUTORIZADO,Autorizado
33265012640,7825859,1129367091,1,AUTORIZADO,Autorizado
33265412640,4780946,1129322596,1,AUTORIZADO,Autorizado
33265212640,7713712,1129373633,1,AUTORIZADO,Autorizado
33265512640,7789618,1129234670,1,AUTORIZADO,Autorizado
33265312640,6417642,1129373297,1,AUTORIZADO,Autorizado
33265612640,7601750,1129341128,1,AUTORIZADO,Autorizado
33265712640,7925917,1129339669,1,AUTORIZADO,Autorizado
47992659630,7868993,1129300990,6,AUTORIZADO,Autorizado
33265912640,6766504,1129353859,1,AUTORIZADO,Autorizado
33266012640,7856211,1129284102,1,AUTORIZADO,Autorizado
33265812640,7001666,1129367876,1,AUTORIZADO,Autorizado
33266112640,7950827,1129362155,1,AUTORIZADO,Autorizado
33266212640,7879548,1129309980,1,AUTORIZADO,Autorizado
33266312640,7103339,1129285592,1,AUTORIZADO,Autorizado
33266412640,7838385,1129347731,1,AUTORIZADO,Autorizado
33266712640,7001666,1129237549,1,AUTORIZADO,Autorizado
33266612640,7001666,1129253879,1,AUTORIZADO,Autorizado
33266512640,7726934,1129233026,1,AUTORIZADO,Autorizado
33267012640,7906916,1129360014,1,AUTORIZADO,Autorizado
33266812640,4780946,1129235303,1,AUTORIZADO,Autorizado
33267212640,7650376,1129236561,1,AUTORIZADO,Autorizado
33266912640,6100377,1129327792,1,AUTORIZADO,Autorizado
33267112640,7771064,1129268120,1,AUTORIZADO,Autorizado
33267412640,6139278,1129363006,1,AUTORIZADO,Autorizado
33267312640,7601750,1129248975,1,AUTORIZADO,Autorizado
47992759630,7868993,1129329502,1,AUTORIZADO,Autorizado
33267712640,7879548,1129372697,1,AUTORIZADO,Autorizado
33267612640,7341823,1129358346,1,AUTORIZADO,Autorizado
33267512640,4780946,1129249947,1,AUTORIZADO,Autorizado
33268112640,7982248,1129298443,1,AUTORIZADO,Autorizado
33268012640,7792595,1129383512,1,AUTORIZADO,Autorizado
33267912640,7856341,1129247915,1,AUTORIZADO,Autorizado
33267812640,7754463,1129373788,1,AUTORIZADO,Autorizado
33268212640,7361029,1129331075,1,AUTORIZADO,Autorizado
33268312640,7879548,1129243341,1,AUTORIZADO,Autorizado
33268412640,7823183,1129351847,1,AUTORIZADO,Autorizado
32551171100,7974151,1129173375,1,AUTORIZADO,Autorizado
1831314748,7669453,1129345848,3,AUTORIZADO,Autorizado
1831324748,7881244,1118692078,1,AUTORIZADO,Autorizado
47992959630,7868993,1129355253,2,AUTORIZADO,Autorizado
33268512640,7823183,1129257157,1,AUTORIZADO,Autorizado
47993059630,7906626,1129369646,1,AUTORIZADO,Autorizado
1831354748,7952326,1128919958,1,AUTORIZADO,Autorizado
1831364748,7674242,1128939295,1,AUTORIZADO,Autorizado
1831364748,7727269,1128939295,1,AUTORIZADO,Autorizado
1831374748,5862979,1129061620,2,AUTORIZADO,Autorizado
47993159630,7967641,1129261564,1,AUTORIZADO,Autorizado
1831384748,7928550,1129087025,1,AUTORIZADO,Autorizado
1831394748,7005206,1129093110,1,AUTORIZADO,Autorizado
6323013748,7982200,1129283570,1,AUTORIZADO,Autorizado
1831444748,7723131,1129235206,1,AUTORIZADO,Autorizado
47993259630,7868993,1129346398,2,AUTORIZADO,Autorizado
1831474748,7549977,1129203149,1,AUTORIZADO,Autorizado
1831484748,7768033,1129250530,1,AUTORIZADO,Autorizado
1831484748,7768071,1129250530,1,AUTORIZADO,Autorizado
47993359630,4210542,1129233685,1,AUTORIZADO,Autorizado
47993459630,7868993,1129331790,2,AUTORIZADO,Autorizado
47993359630,7788826,1129233685,1,AUTORIZADO,Autorizado
1831494748,7916991,1129281415,1,AUTORIZADO,Autorizado
33268612640,7882388,1129380444,1,AUTORIZADO,Autorizado
33268612640,7979651,1129380444,1,AUTORIZADO,Autorizado
1831514748,7956140,1129303883,1,AUTORIZADO,Autorizado
47993559630,7906671,1129284412,1,AUTORIZADO,Autorizado
33268712640,7823183,1129337119,1,AUTORIZADO,Autorizado
47993659630,7967641,1129194348,1,AUTORIZADO,Autorizado
1831554748,7727269,1129362198,1,AUTORIZADO,Autorizado
1831564748,5034529,1129369343,1,AUTORIZADO,Autorizado
1831584748,7922503,1129253847,1,AUTORIZADO,Autorizado
72779431505,7973437,1126015765,1,AUTORIZADO,Autorizado
72779531505,7478017,1126015766,1,AUTORIZADO,Autorizado
1831604748,6586065,1129299115,1,AUTORIZADO,Autorizado
1831614748,6735265,1129306115,2,AUTORIZADO,Autorizado
1831614748,7005213,1129306115,2,AUTORIZADO,Autorizado
72779631505,7677328,1127812924,1,AUTORIZADO,Autorizado
72779731505,7549885,1127819459,1,AUTORIZADO,Autorizado
72779731505,6647193,1127819459,1,AUTORIZADO,Autorizado
47993759630,7906671,1129270125,1,AUTORIZADO,Autorizado
72779831505,7677762,1128774651,1,AUTORIZADO,Autorizado
72779831505,7677304,1128774651,1,AUTORIZADO,Autorizado
72779831505,7727269,1128774651,1,AUTORIZADO,Autorizado
72779931505,7820793,1128828286,1,AUTORIZADO,Autorizado
72780031505,7820793,1129012823,1,AUTORIZADO,Autorizado
72780131505,7868191,1129105228,1,AUTORIZADO,Autorizado
1831654748,7383564,1129357724,1,AUTORIZADO,Autorizado
72780231505,7822742,1129125139,1,AUTORIZADO,Autorizado
72780331505,7885617,1129160245,1,AUTORIZADO,Autorizado
72780431505,7752858,1129199359,1,AUTORIZADO,Autorizado
72780531505,7952494,1129208408,1,AUTORIZADO,Autorizado
72780531505,7727269,1129208408,1,AUTORIZADO,Autorizado
72780631505,3563724,1129208409,1,AUTORIZADO,Autorizado
67861620505,7677328,1128133255,1,AUTORIZADO,Autorizado
47993859630,7906671,1129370823,1,AUTORIZADO,Autorizado
25356386630,6481896,1128821696,572,AUTORIZADO,Autorizado
67861820505,7866210,1128692883,1,AUTORIZADO,Autorizado
67861820505,7866043,1128692883,1,AUTORIZADO,Autorizado
67862020505,7908248,1128734886,1,AUTORIZADO,Autorizado
47993959630,7868993,1129279445,5,AUTORIZADO,Autorizado
67862120505,7921049,1128755166,1,AUTORIZADO,Autorizado
47994059630,7936722,1129388686,1,AUTORIZADO,Autorizado
47994159630,7936722,1129381402,1,AUTORIZADO,Autorizado
47994259630,7936722,1129374227,1,AUTORIZADO,Autorizado
47994359630,7936722,1129366681,1,AUTORIZADO,Autorizado
67862220505,7820793,1128780332,1,AUTORIZADO,Autorizado
47994559630,7936722,1129367443,1,AUTORIZADO,Autorizado
47994459630,7936722,1129372551,1,AUTORIZADO,Autorizado
47994659630,7936722,1129369562,1,AUTORIZADO,Autorizado
47994759630,7979330,1129347987,1,AUTORIZADO,Autorizado
67862320505,7677304,1128802532,1,AUTORIZADO,Autorizado
67862320505,7677762,1128802532,1,AUTORIZADO,Autorizado
47994959630,7979330,1129355456,1,AUTORIZADO,Autorizado
47994859630,7936722,1129366406,1,AUTORIZADO,Autorizado
47995259630,7383564,1129333023,1,AUTORIZADO,Autorizado
47995159630,7973666,1129349760,1,AUTORIZADO,Autorizado
47995359630,7383564,1129264907,1,AUTORIZADO,Autorizado
67862420505,7441776,1128861075,1,AUTORIZADO,Autorizado
47995559630,7383564,1129374053,1,AUTORIZADO,Autorizado
47995459630,7383564,1129346550,1,AUTORIZADO,Autorizado
47995859630,7967641,1129246698,1,AUTORIZADO,Autorizado
